"job_id","job_location","job_title","job_schedule_type","job_posted_date","salary_year_avg","company_name"
226942,"Anywhere","Data Analyst","Full-time","2023-02-20","650000.0","Mantys"
547382,"Anywhere","Director of Analytics","Full-time","2023-08-23","336500.0","Meta"
552322,"Anywhere","Associate Director- Data Insights","Full-time","2023-06-18","255829.5","AT&T"
99305,"Anywhere","Data Analyst, Marketing","Full-time","2023-12-05","232423.0","Pinterest Job Advertisements"
1021647,"Anywhere","Data Analyst (Hybrid/Remote)","Full-time","2023-01-17","217000.0","Uclahealthcareers"
168310,"Anywhere","Principal Data Analyst (Remote)","Full-time","2023-08-09","205000.0","SmartAsset"
731368,"Anywhere","Director, Data Analyst - HYBRID","Full-time","2023-12-07","189309.0","Inclusively"
310660,"Anywhere","Principal Data Analyst, AV Performance Analysis","Full-time","2023-01-05","189000.0","Motional"
1749593,"Anywhere","Principal Data Analyst","Full-time","2023-07-11","186000.0","SmartAsset"
387860,"Anywhere","ERM Data Analyst","Full-time","2023-06-09","184000.0","Get It Recruit - Information Technology"
